Well Name, Basin, Subbasin, Latitude (NAD27), Longitude (NAD27), Northing (NAD27), Easting (NAD27), Latitude (NAD83), Longitude (NAD83), Northing (NAD83), Easting (NAD83), Zone (UTM)
UNIACKE G-72, SCOTIAN BASIN, SABLE SUBBASIN, 44.19144, -59.68604, 4896428, 285334, 44.1915, -59.685264, 4896649, 285403, 21
VENTURE 1, SCOTIAN BASIN, SABLE SUBBASIN, 44.033161, -59.582553, 4878583, 293053, 44.033225, -59.581773, 4878804, 293122, 21
VENTURE 2, SCOTIAN BASIN, SABLE SUBBASIN, 44.033223, -59.582509, 4878589, 293057, 44.033287, -59.581729, 4878811, 293125, 21
VENTURE 3, SCOTIAN BASIN, SABLE SUBBASIN, 44.033186, -59.582556, 4878585, 293053, 44.03325, -59.581776, 4878807, 293122, 21
VENTURE 4, SCOTIAN BASIN, SABLE SUBBASIN, 44.033197, -59.582508, 4878587, 293057, 44.033261, -59.581729, 4878808, 293125, 21
VENTURE 5, SCOTIAN BASIN, SABLE SUBBASIN, 44.033183, -59.582594, 4878585, 293050, 44.033247, -59.581815, 4878807, 293118, 21
VENTURE 6, SCOTIAN BASIN, SABLE SUBBASIN, 44.033209, -59.582596, 4878588, 293050, 44.033273, -59.581816, 4878809, 293118, 21
VENTURE 7, SCOTIAN BASIN, SABLE SUBBASIN, 44.033211, -59.582558, 4878588, 293053, 44.033275, -59.581779, 4878810, 293121, 21
VENTURE B-13, SCOTIAN BASIN, SABLE SUBBASIN, 44.03656, -59.53431, 4878840, 296931, 44.036619, -59.533525, 4879061, 297000, 21
VENTURE B-43, SCOTIAN BASIN, SABLE SUBBASIN, 44.03353, -59.61039, 4878694, 290824, 44.033592, -59.609611, 4878915, 290892, 21
VENTURE B-52, SCOTIAN BASIN, SABLE SUBBASIN, 44.02024, -59.63549, 4877282, 288765, 44.020308, -59.634711, 4877504, 288834, 21
VENTURE D-23, SCOTIAN BASIN, SABLE SUBBASIN, 44.03746, -59.57353, 4879038, 293791, 44.037525, -59.572753, 4879259, 293859, 21
VENTURE H-22, SCOTIAN BASIN, SABLE SUBBASIN, 44.02337, -59.5517, 4877418, 295492, 44.023433, -59.550925, 4877639, 295560, 21
WENONAH J-75, SCOTIAN BASIN, SABLE SUBBASIN, 43.57623, -60.43715, 4827783, 706940, 43.576308, -60.4364, 4828009, 706995, 20
WEST CHEBUCTO K-20, SCOTIAN BASIN, SABLE SUBBASIN, 43.6624, -59.79234, 4837951, 274850, 43.662467, -59.791575, 4838172, 274919, 21
WEST ESPERANTO B-78, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.78428, -58.43645, 4959774, 386358, 44.784325, -58.43565, 4959995, 386425, 21
WEST OLYMPIA O-51, SCOTIAN BASIN, SABLE SUBBASIN, 44.01328, -59.88433, 4877177, 268793, 44.013344, -59.883558, 4877398, 268862, 21
WEST VENTURE B-92, SCOTIAN BASIN, SABLE SUBBASIN, 44.019031, -59.733244, 4877403, 280925, 44.019096, -59.732469, 4877624, 280994, 21
WEST VENTURE C-62, SCOTIAN BASIN, SABLE SUBBASIN, 44.01744, -59.66692, 4877052, 286236, 44.017503, -59.666147, 4877273, 286304, 21
WEST VENTURE N-01, SCOTIAN BASIN, SABLE SUBBASIN, 44.01633, -59.76436, 4877186, 278421, 44.0164, -59.763583, 4877408, 278490, 21
WEST VENTURE N-91, SCOTIAN BASIN, SABLE SUBBASIN, 44.01273, -59.74093, 4876723, 280286, 44.012792, -59.740158, 4876944, 280354, 21
WHYCOCOMAGH N-90, SCOTIAN BASIN, SABLE SUBBASIN, 43.66412, -60.4677, 4837469, 704176, 43.664192, -60.46695, 4837694, 704230, 20
WYANDOT E-53, SCOTIAN BASIN, CANSO RIDGE, 44.87216, -59.3988, 4971331, 310512, 44.872214, -59.398036, 4971553, 310578, 21
